,DEM,REP,GRN,LIB,WCP,UNAF,OTH,TOTAL
ABSENTEE BALLOT (FPCA),0,0,0,0,0,0,0,0
BY MAIL,2,0,0,0,0,0,0,2
DESIGNATED STATE AGENCIES,"9,054","2,593",32,92,22,"3,588",167,"15,548"
ELDERLY / DISABLED / SOC SEC,109,14,0,2,2,36,3,166
ERIC REPORT,"1,745",862,1,5,2,342,36,"2,993"
FROM ANOTHER BOARD,38,13,0,0,0,13,1,65
PROVISIONAL BALLOT,0,1,0,0,0,0,0,1
IN PERSON,0,0,0,0,0,0,0,0
MOTOR VEHICLE ADMINISTRATION,512,258,4,5,1,219,11,"1,010"
NVRA BY MAIL,47,14,0,3,1,40,3,108
ONLINE REGISTRATION,26,17,0,0,0,23,1,67
OTHER MEANS,,,,,,,,
RECRUITING,,,,,,,,
SAME DAY REGISTRATION,,,,,,,,
SOCIAL SERVICES,,,,,,,,
VOLUNTEER,,,,,,,,
TOTAL,"11,533","3,772",37,107,28,"4,261",222,"19,960"
