Day,County,Votes
1,Montgomery,705
1,Prince George's,549
1,Baltimore County,534
1,Anne Arundel,486
1,Baltimore City,188
2,Montgomery,1068
2,Prince George's,996
2,Baltimore County,697
2,Anne Arundel,619
2,Baltimore City,223
3,Montgomery,1251
3,Prince George's,920
3,Baltimore County,752
3,Anne Arundel,619
3,Baltimore City,213
4,Montgomery,1192
4,Prince George's,937
4,Baltimore County,806
4,Anne Arundel,654
4,Baltimore City,249
5,Montgomery,1130
5,Prince George's,1221
5,Baltimore County,946
5,Anne Arundel,742
5,Baltimore City,336
6,Montgomery,1311
6,Prince George's,1337
6,Baltimore County,1118
6,Anne Arundel,948
6,Baltimore City,399
